TimeStep,Vel,Enc1,Enc2,SteerDegCmd,SteerDegMega,Stepper,State,X,Y,YawDeg,CurrentSeg,UturnActive,UturnDir
136,0.0,-135405,121599,0,0,0.7727272727272727,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
137,0.0,-135405,121599,0,0,0.7272727272727273,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
138,0.0,-135405,121599,0,0,0.6818181818181819,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
139,0.0,-135405,121599,0,0,0.6363636363636365,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
140,0.0,-135405,121599,0,0,0.590909090909091,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
141,0.0,-135405,121599,0,0,0.5454545454545455,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
142,0.0,-135405,121599,0,0,0.5000000000000001,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
143,0.0,-135405,121599,0,0,0.4545454545454546,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
144,0.0,-135405,121599,0,0,0.40909090909090917,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
145,0.0,-135405,121599,0,0,0.36363636363636365,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
146,0.0,-135405,121599,0,0,0.3181818181818181,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
147,0.0,-135405,121599,0,0,0.2727272727272726,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
148,0.0,-135405,121599,0,0,0.22727272727272718,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
149,0.0,-135405,121599,0,0,0.18181818181818166,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
150,0.0,-135405,121599,0,0,0.13636363636363613,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
151,0.0,-135405,121599,0,0,0.09090909090909083,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
152,0.0,-135405,121599,0,0,0.0454545454545453,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
153,0.0,-135405,121599,0,0,0.0,WAITING,1.9821214125577207,0.5,0.0,0,False,
